item_code,item,unit,item_group,item_category,2022-03-02,2022-03-18
1017,FISHERMAN'S FRIEND ORIGINAL,25 g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,1.0,0.0
1019,MINYAK ANGIN CAP KAPAK,3 ml,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,1.0,0.0
1020,VICKS VAPORUB,10 g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,1.0,0.0
1025,LISTERINE COOL MINT,250 ml,BARANGAN KEDAI SERBANEKA,MOUTH WASH,0.0,1.0
1063,KINDER BUENO - MILK & HAZELNUT,43 g,BARANGAN KEDAI SERBANEKA,COKLAT,1.0,0.0
1468,PANADOL FOR CHILDREN SUSPENSION 1-6,60ml,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,1.0,0.0
1653,UHU GLUE (GAM PELBAGAI KEGUNAAN),20ml,BARANGAN KEDAI SERBANEKA,ALAT TULIS DAN BAHAN BACAAN,0.0,1.0
1654,MAJALAH CLEO,senaskah,BARANGAN KEDAI SERBANEKA,MAJALAH,0.0,1.0
1657,MAJALAH MINGGUAN WANITA,senaskah,BARANGAN KEDAI SERBANEKA,MAJALAH,0.0,1.0
1658,COLGATE TOOTHBRUSH EXTRA CLEAN MEDIUM,1 batang,BARANGAN KEDAI SERBANEKA,BERUS GIGI,0.0,1.0
1659,DARLIE TRAVEL KIT ADULT,1 unit,BARANGAN KEDAI SERBANEKA,UBAT GIGI,1.0,0.0
1671,REJOICE RICH SOFT SMOOTH SHAMPOO,70ml,BARANGAN KEDAI SERBANEKA,SYAMPU,1.0,0.0
1673,HEAD AND SHOULDERS COOL MENTHOL SHAMPOO,70ml,BARANGAN KEDAI SERBANEKA,SYAMPU,1.0,0.0
1680,PANADOL ACTIFAST 10S,paket,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,1.0,0.0
1682,STREPSILS ORIGINAL 6 LOZENGES,paket,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,1.0,0.0
1683,MISTER POTATO CRISPS (PELBAGAI PERISA) - BOTOL,160 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN,1.0,0.0
1684,PRINGLES POTATO CRISPS (PELBAGAI PERISA) - BOTOL,110 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN,1.0,0.0
1685,MISTER POTATO CHIPS (PELBAGAI PERISA) - PAKET,75 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN,1.0,0.0
1691,OREO BISKUT SANDWICH COKLAT JENAMA KRAFT (PELBAGAI PERISA),paket,BARANGAN KEDAI SERBANEKA,BISKUT,1.0,0.0
1692,CREAM O BISKUT SANDWICH JENAMA JACK N JILL (PELBAGAI PERISA),132g,BARANGAN KEDAI SERBANEKA,BISKUT,1.0,0.0
1695,ENO SACHET GINGER,2x4.3g,BARANGAN KEDAI SERBANEKA,UBAT-UBATAN,1.0,0.0
1697,TIGER BISKUAT SUSU,75 g,BARANGAN KEDAI SERBANEKA,BISKUT,1.0,0.0
1700,KINDER JOY FOR BOYS/FOR GIRLS,20 g,BARANGAN KEDAI SERBANEKA,COKLAT,1.0,0.0
1701,TOBLERONE (MILK CHOCOLATE),50 g,BARANGAN KEDAI SERBANEKA,COKLAT,1.0,0.0
1710,MAGGI HOT CUP (CURRY),64g,BARANGAN KEDAI SERBANEKA,MAKANAN SEGERA,1.0,0.0
1712,YAKULT (ACE/ACE LIGHT),80ml,BARANGAN KEDAI SERBANEKA,MINUMAN,1.0,0.0
1718,LIVITA WITH HONEY (TIN),250 ml,BARANGAN KEDAI SERBANEKA,MINUMAN,1.0,0.0
1719,SEVEN UP LEMON & LIME,500 ml,BARANGAN KEDAI SERBANEKA,MINUMAN,1.0,0.0
1725,THREE LEGS COOLING WATER,200 ml,BARANGAN KEDAI SERBANEKA,MINUMAN,1.0,0.0
1727,COOL RHINO COOLING WATER,350ml,BARANGAN KEDAI SERBANEKA,MINUMAN,1.0,0.0
1808,MENTOS (PELBAGAI PERISA),37g,BARANGAN KEDAI SERBANEKA,COKLAT,1.0,0.0
1887,DETTOL SHOWER FOAM ORIGINAL,250 ml,BARANGAN KEDAI SERBANEKA,SABUN BADAN,1.0,0.0
1891,SUPER RING SNACKS CHEESE,60 g,BARANGAN KEDAI SERBANEKA,MAKANAN RINGAN,1.0,0.0
1893,MUNCHY'S MUZIC WAFER VANILLA CUBE,90g,BARANGAN KEDAI SERBANEKA,BISKUT,1.0,0.0
1894,CALPIS (PELBAGAI PERISA),350ml,BARANGAN KEDAI SERBANEKA,MINUMAN,1.0,0.0
1896,COCA COLA LIGHT,320ml,BARANGAN KEDAI SERBANEKA,MINUMAN,1.0,0.0
